Date,Open,High,Low,Close,Volume,Return
10/5/2021,4309.87,4369.23,4309.87,4345.72,2026525955,0.010524456
10/6/2021,4319.57,4365.57,4290.49,4363.55,2062682920,0.004102887
10/7/2021,4383.73,4429.97,4383.73,4399.76,1942954035,0.008298289
10/8/2021,4406.51,4412.02,4386.22,4391.34,1683911086,-0.001913741
10/11/2021,4385.44,4415.88,4360.59,4361.19,1684626168,-0.006865786
10/12/2021,4368.31,4374.89,4342.09,4350.65,1951341517,-0.002416772
10/13/2021,4358.01,4372.87,4329.92,4363.8,1928089452,0.003022537
10/14/2021,4386.75,4439.73,4386.75,4438.26,1941352446,0.01706311
10/15/2021,4447.69,4475.82,4447.69,4471.37,2048713822,0.007460131
10/18/2021,4463.72,4488.75,4447.47,4486.46,1871645425,0.003374805
10/19/2021,4497.34,4520.4,4496.41,4519.63,1701720108,0.007393357
10/20/2021,4524.42,4540.87,4524.4,4536.19,1842279378,0.003664017
10/21/2021,4532.24,4551.44,4526.89,4549.78,1903670277,0.002995906
10/22/2021,4546.12,4559.67,4524,4544.9,1820296105,-0.001072579
10/25/2021,4553.69,4572.62,4537.36,4566.48,1849843381,0.004748179
10/26/2021,4578.69,4598.53,4569.17,4574.79,2018287292,0.001819782
10/27/2021,4580.22,4584.57,4551.66,4551.68,2255666226,-0.005051598
10/28/2021,4562.84,4597.55,4562.84,4596.42,2180879850,0.009829338
10/29/2021,4572.87,4608.08,4567.59,4605.38,2350301616,0.001949343
11/1/2021,4610.62,4620.34,4595.06,4613.67,2033758725,0.001800069
11/2/2021,4613.34,4635.15,4613.34,4630.65,2156232672,0.003680367
11/3/2021,4630.65,4663.46,4621.19,4660.57,2155080069,0.006461296
11/4/2021,4662.93,4683,4662.59,4680.06,2514981463,0.004181892
11/5/2021,4699.26,4718.5,4681.32,4697.53,2604934263,0.003732858
11/8/2021,4701.48,4714.92,4694.39,4701.7,2208829524,0.000887701
11/9/2021,4707.25,4708.53,4670.87,4685.25,2077878164,-0.003498735
11/10/2021,4670.26,4684.85,4630.86,4646.71,2141600225,-0.008225815
11/11/2021,4659.39,4664.55,4648.31,4649.27,1745650301,0.000550927
11/12/2021,4655.24,4688.47,4650.77,4682.85,1878873391,0.007222639
11/15/2021,4689.3,4697.42,4672.86,4682.8,1821708114,-1.06773E-05
11/16/2021,4679.42,4714.95,4679.42,4700.9,1969710437,0.003865209
11/17/2021,4701.5,4701.5,4684.41,4688.67,2073793765,-0.002601629
11/18/2021,4700.72,4708.8,4672.78,4704.54,2229419489,0.003384755
11/19/2021,4708.44,4717.75,4694.22,4697.96,2452147236,-0.001398649
11/22/2021,4712,4743.83,4682.17,4682.94,2465454579,-0.003197132
11/23/2021,4678.48,4699.39,4652.66,4690.7,2230377284,0.001657079
11/24/2021,4675.78,4702.87,4659.89,4701.46,1849716721,0.002293901
11/26/2021,4664.63,4664.63,4585.43,4594.62,2132760977,-0.022724856
11/29/2021,4628.75,4672.95,4625.26,4655.27,2505188610,0.013200221
11/30/2021,4640.25,4646.02,4560,4567,4064157980,-0.018961306
12/1/2021,4602.82,4652.94,4510.27,4513.04,3055980587,-0.011815196
12/2/2021,4504.73,4595.46,4504.73,4577.1,2801558306,0.014194423
12/3/2021,4589.49,4608.03,4495.12,4538.43,2714009311,-0.008448581
12/6/2021,4548.37,4612.6,4540.51,4591.67,2591430683,0.011730929
12/7/2021,4631.97,4694.04,4631.97,4686.75,2483715209,0.020707063
12/8/2021,4690.86,4705.06,4674.52,4701.21,2169237673,0.003085294
12/9/2021,4691,4695.26,4665.98,4667.45,2021704694,-0.00718113
12/10/2021,4687.64,4713.57,4670.24,4712.02,2130792886,0.009549111
12/13/2021,4710.3,4710.3,4667.6,4668.97,2427488597,-0.009136209
12/14/2021,4642.99,4660.47,4606.52,4634.09,2481788465,-0.007470598
12/15/2021,4636.46,4712.6,4611.22,4709.85,2575621271,0.016348409
12/16/2021,4719.13,4731.99,4651.89,4668.67,2745064817,-0.008743378
12/17/2021,4652.5,4666.7,4600.22,4620.64,4573690712,-0.010287726
12/20/2021,4587.9,4587.9,4531.1,4568.02,2468207427,-0.011388033
12/21/2021,4594.96,4651.14,4583.16,4649.23,2298114520,0.017777943
12/22/2021,4650.36,4697.67,4645.53,4696.56,1874604891,0.01018018
12/23/2021,4703.96,4740.74,4703.96,4725.79,1617243125,0.006223704
12/27/2021,4733.99,4791.49,4733.99,4791.19,1503734418,0.013838956
12/28/2021,4795.49,4807.02,4780.04,4786.35,1432143549,-0.001010187
12/29/2021,4788.64,4804.06,4778.08,4793.06,1365873126,0.001401903
12/30/2021,4794.23,4808.93,4775.33,4778.73,1353236996,-0.002989739
12/31/2021,4775.21,4786.83,4765.75,4766.18,1339318824,-0.002626221
1/3/2022,4778.14,4796.64,4758.17,4796.56,2241373299,0.006374077
1/4/2022,4804.51,4818.62,4774.27,4793.54,2841121018,-0.000629618
1/5/2022,4787.99,4797.7,4699.44,4700.58,2810603586,-0.019392766
1/6/2022,4693.39,4725.01,4671.26,4696.05,2389339330,-0.000963711
1/7/2022,4697.66,4707.95,4662.74,4677.03,2414328227,-0.004050212
1/10/2022,4655.34,4673.02,4582.24,4670.29,2668776356,-0.001441085
1/11/2022,4669.14,4714.13,4638.27,4713.07,2238558923,0.009160031
1/12/2022,4728.59,4748.83,4706.71,4726.35,2122392627,0.002817696
1/13/2022,4733.56,4744.13,4650.29,4659.03,2392404427,-0.014243549
1/14/2022,4637.99,4665.13,4614.75,4662.85,2522462949,0.000819913
1/18/2022,4632.24,4632.24,4568.7,4577.11,2741096372,-0.018387896
